how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
25-34,Accessibility,IT Accessibility Analyst,74000,0.0,New Jersey,New Brunswick,8 - 10 years,8 - 10 years,College degree
35-44,Nonprofits,Research Associate,91000,3000.0,California,Oakland,11 - 20 years,11 - 20 years,Master's degree
25-34,Pharmaceutical,Clinical Trial Associate,92000,9000.0,California,San Diego,8 - 10 years,5-7 years,Master's degree
18-24,Engineering or Manufacturing,Transmission Engineer,65000,0.0,Texas,Houston,2 - 4 years,1 year or less,College degree
35-44,Health care,Nurse Manager,88000,,Indiana,Indianapolis,8 - 10 years,8 - 10 years,College degree
35-44,Education (Higher Education),Scholarly Communication Specialist,38100,0.0,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree
25-34,Business or Consulting,Senior Customer Success Manager,86000,9500.0,Virginia,Arlington,5-7 years,2 - 4 years,College degree
45-54,Utilities & Telecommunications,Financial Analyst,87360,0.0,Texas,Houston,21 - 30 years,11 - 20 years,
35-44,Recruitment or HR,Business Unit Controller,175000,0.0,New York,New York,11 - 20 years,11 - 20 years,College degree
18-24,Art & Design,Junior Graphic Designer,38000,0.0,Illinois,Chicago,2 - 4 years,1 year or less,College degree
35-44,Law,Associate Attorney,270000,0.0,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
25-34,Nonprofits,State policy analyst,87000,,District of Columbia,"Washington, D.C.",8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Education (Higher Education),User Services Librarian,50000,,Maryland,Baltimore,5-7 years,5-7 years,Master's degree
25-34,Government and Public Administration,Hydrologist,58500,2000.0,Washington,Tacoma,2 - 4 years,2 - 4 years,Master's degree
35-44,Law,Associate Attorney,70000,,Oregon,Portland,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,"Accounting, Banking & Finance","Manager, Strategic Messaging",117000,,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree
25-34,Education (Higher Education),Librarian,50000,,Ohio,Cleveland,5-7 years,5-7 years,Master's degree
25-34,Computing or Tech,IT Project Manager,111500,0.0,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,College degree
25-34,Social Work,Crisis Clinician,51000,0.0,Vermont,Burlington,5-7 years,2 - 4 years,Master's degree
25-34,Health care,Radiation Therapist,72800,500.0,Ohio,Dayton,8 - 10 years,5-7 years,College degree
35-44,Recruitment or HR,HR Business Partner,79000,5000.0,Texas,Frisco,11 - 20 years,11 - 20 years,High School
25-34,Computing or Tech,Consultant,78000,,Arizona,Phoenix,2 - 4 years,2 - 4 years,College degree
18-24,"Marketing, Advertising & PR",Associate Strategic Planner,60000,,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree
25-34,Law,Assistant District Attorney,89470,0.0,New York,Bronx,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Utilities & Telecommunications,Manager Operations,158000,50000.0,Maryland,Baltimore,11 - 20 years,11 - 20 years,Master's degree
45-54,Government and Public Administration,Administration,55785,,Minnesota,St. Paul,21 - 30 years,8 - 10 years,College degree
25-34,Education (Higher Education),Executive Assistant,53000,,Oregon,Portland,2 - 4 years,2 - 4 years,College degree
25-34,Law,Legal Assistant,47840,3000.0,Texas,Austin,8 - 10 years,1 year or less,College degree
25-34,Nonprofits,IT Manager,66000,,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,College degree
25-34,Business or Consulting,Research Associate,65000,5000.0,District of Columbia,District of Columbia,5-7 years,2 - 4 years,Master's degree
35-44,Computing or Tech,Product Owner,65000,6000.0,Pennsylvania,Bethlehem,11 - 20 years,1 year or less,College degree
25-34,Government and Public Administration,Makerspace Technician,31000,,California,La Quinta,8 - 10 years,2 - 4 years,College degree
25-34,Government and Public Administration,Hydrologic Technician,40000,1000.0,South Carolina,Charleston,2 - 4 years,2 - 4 years,College degree
35-44,Utilities & Telecommunications,Senior IT Security Analyst,102000,5000.0,Washington,Bellevue,11 - 20 years,5-7 years,College degree
25-34,Computing or Tech,Senior Program Manager,170000,60000.0,California,Mountain View,11 - 20 years,11 - 20 years,College degree
35-44,Education (Higher Education),Assistant Teaching Professor,56700,,Pennsylvania,Middletown,11 - 20 years,11 - 20 years,Master's degree
25-34,Insurance,Manager Claims,120000,17000.0,Connecticut,Hartford,11 - 20 years,11 - 20 years,Master's degree
35-44,Engineering or Manufacturing,Director of Marketing,167000,77000.0,Michigan,Prefer not to answer,11 - 20 years,8 - 10 years,Master's degree
35-44,Law,Attorney,99780,3000.0,Texas,Laredo,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Education (Higher Education),Digital Marketing and Communications Manager,61500,0.0,Washington,Bellevue,5-7 years,2 - 4 years,College degree
35-44,Nonprofits,Sr. Director of Constituent Engagement,87000,0.0,Massachusetts,Western MA,11 - 20 years,8 - 10 years,Master's degree
25-34,Nonprofits,Digital Content Specialist,58000,0.0,New York,New York,5-7 years,5-7 years,College degree
35-44,Retail,"Store manager for small store, 4 employees",57000,4000.0,Nevada,Las begas,11 - 20 years,11 - 20 years,College degree
35-44,Nonprofits,Director of Development/Major Gifts Officer,100000,0.0,Connecticut,Westport,11 - 20 years,11 - 20 years,Master's degree
35-44,"Accounting, Banking & Finance",Senior Vice President,350000,150000.0,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree
25-34,Government and Public Administration,Reference Librarian,52500,0.0,Virginia,Richmond,8 - 10 years,8 - 10 years,Master's degree
25-34,Retail,Receiving Associate,31200,,Michigan,Plymouth,5-7 years,5-7 years,College degree
25-34,"Marketing, Advertising & PR",Staff Writer,65000,1000.0,Massachusetts,Easthampton,8 - 10 years,5-7 years,College degree
25-34,Health care,nurse,62000,500.0,Illinois,Chicago,5-7 years,5-7 years,Master's degree
25-34,Computing or Tech,Product Manager,90000,,New Mexico,Albuquerque,5-7 years,2 - 4 years,College degree
25-34,Educational technology,Director of Product,95000,,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree
45-54,Insurance,customer service rep/implementation manager,35360,1400.0,North Carolina,Charlotte,21 - 30 years,2 - 4 years,Master's degree
25-34,Federal Contracting/Business Development,Proposal Analyst,70000,,Alabama,Huntsville,8 - 10 years,2 - 4 years,College degree
35-44,Computing or Tech,Product designer,145610,30000.0,Texas,Austin,11 - 20 years,8 - 10 years,Master's degree
35-44,Government and Public Administration,Library Branch Manager,97000,,Maryland,Kensington,21 - 30 years,11 - 20 years,Master's degree
35-44,Business or Consulting,Consultant,171000,20000.0,Texas,Dallas,11 - 20 years,2 - 4 years,Master's degree
18-24,Computing or Tech,Rotational Analyst,85000,8000.0,New York,New York City,2 - 4 years,1 year or less,College degree
35-44,Nonprofits,Director of Development,57500,0.0,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,College degree
35-44,Nonprofits,Donor Relations Officer,70500,1000.0,Texas,Houston,11 - 20 years,11 - 20 years,College degree
35-44,"Marketing, Advertising & PR",Content Marketing Manager,92000,16000.0,Ohio,Cincinnati,11 - 20 years,5-7 years,Master's degree
35-44,Education (Higher Education),Research Strategy and Portfolio Manager,108000,10800.0,California,Oakland,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Senior Solutions Architect,150000,110000.0,Texas,Houston,11 - 20 years,2 - 4 years,PhD
35-44,Business or Consulting,Sr. Corporate Recruiter,110400,,Illinois,Chicago,11 - 20 years,8 - 10 years,College degree
25-34,Property or Construction,Project Manager,95000,5000.0,New York,New York,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
45-54,Public Libraries,Librarian,39000,0.0,Virginia,Richmond,31 - 40 years,11 - 20 years,Master's degree
25-34,Libraries,Library Services Representative II,33000,0.0,Texas,Dallas,5-7 years,2 - 4 years,Master's degree
45-54,Nonprofits,CEO,143000,,New York,New York,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Engineering or Manufacturing,Environmental engineer,66600,1200.0,Georgia,Lawrenceville,8 - 10 years,8 - 10 years,College degree
25-34,Engineering or Manufacturing,Transportation Engineer,70000,0.0,Colorado,Aurora,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Workforce Analyst,85000,20000.0,California,Los Angeles,2 - 4 years,2 - 4 years,Master's degree
25-34,Education (Higher Education),HR Generalist,63000,,Wisconsin,Madison,8 - 10 years,8 - 10 years,College degree
35-44,Retail,Store Team Leader,65000,2000.0,California,Pollock Pines,11 - 20 years,5-7 years,Some college
45-54,Nonprofits,Office Administrator,36712,,Washington,Bellevue,11 - 20 years,5-7 years,Some college
35-44,Computing or Tech,Network Coordinator,50000,,Oregon,Bend,21 - 30 years,1 year or less,Some college
18-24,Computing or Tech,Data Scientist,136000,,New York,New York,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Customer Success Engagement Manager,58500,,California,Redding,2 - 4 years,2 - 4 years,College degree
25-34,Media & Digital,Product Manager,135000,13500.0,New York,New York,5-7 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Validation Analyst,55000,2000.0,New Mexico,Albuquerque,2 - 4 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Office Administrator,38500,0.0,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree
25-34,Transport or Logistics,Air traffic controller,93500,15000.0,Kansas,Wichita,2 - 4 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Master Data Analyst,70000,5000.0,Georgia,Atlanta,2 - 4 years,2 - 4 years,Master's degree
35-44,Government and Public Administration,Administrative Technician,81000,0.0,California,Tahoe City,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Administrative coordinator,38000,,Oregon,Portland,5-7 years,1 year or less,High School
25-34,Education (Higher Education),Coordinator of Instructional Technology,30500,1000.0,Tennessee,Cleveland,8 - 10 years,5-7 years,College degree
45-54,Library,Director,44000,0.0,New Hampshire,Troy,11 - 20 years,11 - 20 years,Master's degree
25-34,Business or Consulting,Manager,125000,12500.0,District of Columbia,Washington DC,5-7 years,5-7 years,College degree
35-44,Education (Higher Education),Faculty,81500,10000.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,College degree
25-34,Engineering or Manufacturing,Office Manager,60000,,Tennessee,Knoxville,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Software engineer,149000,210000.0,Washington,Seattle,5-7 years,5-7 years,Master's degree
25-34,Health care,Data Programmer Analyst,74000,0.0,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree
35-44,Government and Public Administration,IT Specialist I,103000,0.0,California,Sacramento,21 - 30 years,11 - 20 years,College degree
45-54,Hospitality & Events,HR Director,105000,0.0,California,San Francisco,11 - 20 years,5-7 years,College degree
55-64,Veterinary medicine,Veterinary Specialist,89800,0.0,Arkansas,Little Rock,21 - 30 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Law,Intake Manager,130000,10000.0,Georgia,Atlanta,11 - 20 years,11 - 20 years,Some college
25-34,"Accounting, Banking & Finance",Quantitative Analyst,160000,160000.0,New York,New York,5-7 years,5-7 years,College degree
35-44,Government and Public Administration,Human Resources Manager,75000,,Vermont,Burlington,11 - 20 years,11 - 20 years,College degree
45-54,Art & Design,Senior Product Designer,135000,,Illinois,Chicago,21 - 30 years,11 - 20 years,College degree
35-44,Education (Higher Education),Research Program Manager,96000,,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,PhD
45-54,Computing or Tech,Sr. Director,170000,51000.0,Kentucky,Louisville (remote),31 - 40 years,21 - 30 years,Some college
35-44,Business or Consulting,COO,130000,,Ohio,Cincinnati,11 - 20 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Project Delivery Senior Consultant,95000,5000.0,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree
35-44,Business or Consulting,"Director, Program Consultant",72000,,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Help Desk Lead,70000,0.0,Michigan,Bay City,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Technical writer,83000,10000.0,Colorado,Colorado Springs,8 - 10 years,8 - 10 years,College degree
25-34,Library at a University,User Experience and Virtual Reference Coordinator,49000,,Minnesota,Saint Paul,11 - 20 years,11 - 20 years,Master's degree
35-44,Government and Public Administration,Senior Analyst,124332,0.0,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Consultant,115000,40000.0,Colorado,Remote,11 - 20 years,2 - 4 years,High School
25-34,Property or Construction,Assistant Project Manager,101400,10000.0,Washington,Seattle,5-7 years,5-7 years,College degree
25-34,Health care,family physician,200000,23000.0,Wisconsin,Milwaukee,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Program Manager,125000,0.0,Texas,Austin,8 - 10 years,5-7 years,College degree
45-54,Computing or Tech,EA,85000,6500.0,Virginia,Herndon,8 - 10 years,5-7 years,College degree
25-34,Nonprofits,Associate Development Officer,53000,0.0,New York,New York City,5-7 years,2 - 4 years,Master's degree
35-44,Computing or Tech,Director of Operations,77900,,Washington,Seattle,8 - 10 years,5-7 years,College degree
45-54,Education (Higher Education),Professor of English,85000,7000.0,Michigan,Marquette,11 - 20 years,11 - 20 years,PhD
45-54,Computing or Tech,Director of Technology,88000,,Michigan,Ann Arbor,31 - 40 years,21 - 30 years,Master's degree
55-64,Computing or Tech,Senior Database Administrator,127553,15723.0,Missouri,Kansas City,31 - 40 years,31 - 40 years,College degree
35-44,Nonprofits,Senior Director,90000,0.0,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree
25-34,Energy,Fuel Efficiency Program Analyst,76000,0.0,District of Columbia,Washington,8 - 10 years,5-7 years,College degree
45-54,"Marketing, Advertising & PR",Digital Marketing Specialist,56000,1000.0,New York,Syracuse,21 - 30 years,11 - 20 years,Master's degree
35-44,Health care,Formulation Senior Scientist,127000,74000.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree
35-44,Property or Construction,Human Resources Generalist,68000,4000.0,Minnesota,Minneapolis,11 - 20 years,8 - 10 years,College degree
18-24,Computing or Tech,Operations Associate,90000,5000.0,California,San Francisco,2 - 4 years,2 - 4 years,College degree
25-34,Business or Consulting,Senior manager,200000,20000.0,New York,New York City,8 - 10 years,2 - 4 years,College degree
35-44,Computing or Tech,Analyst/Technical Account Manager,80000,5000.0,New York,New York,11 - 20 years,5-7 years,College degree
25-34,Computing or Tech,Product Strategy and Marketing Manager,180000,63800.0,California,San Francisco,5-7 years,5-7 years,College degree
25-34,Engineering or Manufacturing,Data Scientist,160000,0.0,Illinois,Chicago,5-7 years,5-7 years,Master's degree
35-44,Hospitality & Events,Prep Cook,20800,,Missouri,Lebanon,11 - 20 years,8 - 10 years,High School
35-44,Computing or Tech,Coordinator,32000,,Pennsylvania,Pittsburgh,8 - 10 years,2 - 4 years,Master's degree
45-54,Health care,RN,42500,0.0,South Dakota,Rapid City,21 - 30 years,21 - 30 years,College degree
25-34,"Accounting, Banking & Finance",enrolled agent,120000,,California,LOS ANGELES,11 - 20 years,8 - 10 years,College degree
35-44,Computing or Tech,Tech Writer,88000,,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree
25-34,Retail,Genius,57869,4000.0,New York,Brooklyn,5-7 years,2 - 4 years,College degree
25-34,Nonprofits,Associate (consultant),65000,0.0,Pennsylvania,Philadelphia suburbs,11 - 20 years,11 - 20 years,Master's degree
45-54,Computing or Tech,"Senior Manager, Engineering",230000,46000.0,Oregon,Portland,21 - 30 years,21 - 30 years,College degree
35-44,Government and Public Administration,Lab Scientist,95000,0.0,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,DevOps Engineer,100000,,New York,North Hempstead,5-7 years,2 - 4 years,College degree
35-44,Government and Public Administration,Computer scientist,140000,,New Mexico,Los alamos,11 - 20 years,11 - 20 years,Master's degree
55-64,Health care,Senior Clinical Laboratory Scientist,150000,50000.0,California,Sunnyvale,31 - 40 years,31 - 40 years,College degree
35-44,Retail,Lead Instructional Designer,91000,10900.0,Maryland,Baltimore,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Level 1 helpdesk,32240,,Ohio,Mason,5-7 years,2 - 4 years,Some college
45-54,Computing or Tech,Senior Software Developer,190000,80000.0,California,Los Angeles,21 - 30 years,21 - 30 years,Some college
25-34,Engineering or Manufacturing,Production Team Lead,94500,,Louisiana,Garyville,5-7 years,2 - 4 years,College degree
18-24,Retail,Ecommerce Merchandiser,54000,2000.0,California,Los Angeles,2 - 4 years,2 - 4 years,College degree
45-54,Law,Paralegal,44000,500.0,North Carolina,Greensboro,11 - 20 years,5-7 years,College degree
55-64,Computing or Tech,Administrative Coordinator,78750,500.0,Pennsylvania,Philadelphia,11 - 20 years,5-7 years,Master's degree
55-64,Transport or Logistics,Office Manager,68000,,North Carolina,Greensboro,8 - 10 years,31 - 40 years,Some college
25-34,Insurance,Investigator,82075,200.0,Massachusetts,Boston,5-7 years,5-7 years,College degree
25-34,Health care,Associate Director Medical Economics,115000,13000.0,,Minneapolis,8 - 10 years,8 - 10 years,Master's degree
55-64,Health care,Editorial Content Manager,88000,6000.0,Maryland,Baltimore,31 - 40 years,31 - 40 years,College degree
25-34,"Marketing, Advertising & PR",Data scientist,97500,8125.0,Florida,Lakeland,8 - 10 years,8 - 10 years,College degree
25-34,Health care,Program Coordinator,80000,,North Carolina,Greensboro,2 - 4 years,2 - 4 years,Master's degree
35-44,Government and Public Administration,Health Systems Specialist,119200,,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree
35-44,Nonprofits,Director of Programs,123000,,California,Oakland,11 - 20 years,11 - 20 years,Master's degree
35-44,Health care,Manager,104000,7000.0,Washington,Renton,11 - 20 years,11 - 20 years,College degree
35-44,Law,"Manager, Attorney Development",155000,15000.0,New York,New York,21 - 30 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Nonprofits,Certification Manager,58000,0.0,Virginia,Alexandria,11 - 20 years,5-7 years,College degree
35-44,Recruitment or HR,HR Director,65000,1000.0,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree
25-34,"Marketing, Advertising & PR",Content Marketing Manager,55000,,California,Orange,5-7 years,5-7 years,College degree
18-24,Nonprofits,Youth Program Coordinator,32000,0.0,Washington,Tacoma,2 - 4 years,1 year or less,College degree
35-44,Nonprofits,Vice President,166000,5000.0,Massachusetts,Boston,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Health care,Nurse practitioner,210000,0.0,New York,Rochester,5-7 years,11 - 20 years,Master's degree
25-34,Media & Digital,Digital content editor,44000,1000.0,Idaho,Boise,8 - 10 years,5-7 years,College degree
25-34,Engineering or Manufacturing,Mechanical Engineer,94000,,Virginia,Alexandria,5-7 years,2 - 4 years,College degree
25-34,Publishing,Publishing Specialist,66040,,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree
35-44,Utilities & Telecommunications,Porting Team Captain,71000,4000.0,Washington,Bellevue,11 - 20 years,11 - 20 years,College degree
35-44,Education (Higher Education),Dean,58000,,Georgia,Metro Atlanta,11 - 20 years,11 - 20 years,PhD
25-34,Health care,Patient Care Coordinator,33280,0.0,California,San Diego,8 - 10 years,2 - 4 years,College degree
35-44,"Marketing, Advertising & PR",Consumer Insights Manager,134500,28000.0,New York,New York City,11 - 20 years,8 - 10 years,PhD
25-34,Health care,"Senior Associate, Finance",120000,17500.0,New York,New York,2 - 4 years,2 - 4 years,College degree
35-44,Government and Public Administration,Director,100000,0.0,Texas,Austin,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
45-54,"Accounting, Banking & Finance",Payroll and Benefit Coordinator,42827,,Indiana,Indianapolis,21 - 30 years,2 - 4 years,Some college
55-64,Funeral,Office Manager,54000,4000.0,Illinois,Suburban Chicago,21 - 30 years,8 - 10 years,Some college
35-44,Computing or Tech,Project Director,195000,75000.0,California,Santa Clara,21 - 30 years,21 - 30 years,Master's degree
35-44,Computing or Tech,Proposal Manager,121000,9000.0,Illinois,Chicago,21 - 30 years,11 - 20 years,Some college
25-34,Retail,Customer Service Representative,35000,600.0,Washington,Seattle,2 - 4 years,1 year or less,Some college
18-24,Education (Primary/Secondary),Teacher,41411,,New Mexico,Albuquerque,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,IT Business Analyst,80000,,Nebraska,Omaha,8 - 10 years,5-7 years,College degree
35-44,Health care,Sr software engineer,135000,0.0,California,Sacramento,11 - 20 years,8 - 10 years,Some college
35-44,Nonprofits,Salesforce Administrator,89600,8000.0,Connecticut,Newtown,11 - 20 years,8 - 10 years,College degree
55-64,Business or Consulting,Principal Consultant,132000,,Georgia,ATLANTA,31 - 40 years,11 - 20 years,College degree
45-54,"Accounting, Banking & Finance",VP Brand,144000,20000.0,Arizona,Phoenix,21 - 30 years,21 - 30 years,College degree
45-54,Engineering or Manufacturing,Senior Quality Systems Analyst,97000,3000.0,Wisconsin,Milwaukee,21 - 30 years,11 - 20 years,Master's degree
35-44,Computing or Tech,AVP of Software Development,120000,30000.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree
65 or over,Property or Construction,Safety Director,104000,25000.0,Georgia,Atlanta,41 years or more,21 - 30 years,College degree
25-34,Computing or Tech,Senior Product Designer,120000,,Massachusetts,Boston,5-7 years,5-7 years,College degree
25-34,Health care,Medical Technologist,52000,0.0,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree
18-24,Computing or Tech,Software Engineer,135000,88000.0,New York,New York City,2 - 4 years,2 - 4 years,College degree
35-44,Education (Higher Education),Discovery & Resource Management Systems Coordinator (Librarian III),73000,0.0,Massachusetts,Amherst,11 - 20 years,11 - 20 years,Master's degree
25-34,Online education,Motion Designer,75000,,New York,New York City,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Incident Response Consultant,136500,44000.0,Georgia,Atlanta,11 - 20 years,5-7 years,Master's degree
25-34,"Accounting, Banking & Finance",Virtual Executive Assistant,58900,2000.0,Texas,Dallas,8 - 10 years,8 - 10 years,Some college
25-34,Media & Digital,Senior strategist,85000,1000.0,California,Berkeley,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Executive Assistant,75000,3000.0,Texas,Austin,11 - 20 years,8 - 10 years,College degree
35-44,Health care,"Director, Client Operations",104000,104000.0,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree
35-44,Nonprofits,Senior Managing Editor,106000,0.0,California,Oakland,11 - 20 years,11 - 20 years,College degree
45-54,Executive Leadership Servis,Executive Assistant,88000,12000.0,California,Los Angeles,21 - 30 years,8 - 10 years,College degree
25-34,Art & Design,Creative Production Manager and Graphic Designer,64000,4000.0,Virginia,Alexandria,5-7 years,5-7 years,College degree
35-44,"Marketing, Advertising & PR",Vice President,190000,40000.0,Texas,Dallas,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Librarian,72000,,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree
35-44,Engineering or Manufacturing,Sr. Project Engineer,98000,0.0,Michigan,Detroit area,21 - 30 years,21 - 30 years,College degree
25-34,Nonprofits,Grant Writer,89000,0.0,New York,New York City,8 - 10 years,8 - 10 years,College degree
45-54,Retail,cake decorator,34000,2000.0,Arizona,Phoenix,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Director of Strategic Partnerships,70000,,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree
25-34,Government and Public Administration,Program Coordinator,72467,0.0,Massachusetts,Wakefield,11 - 20 years,8 - 10 years,College degree
25-34,Health care,Registered Nurse,88000,10000.0,Alaska,Anchorage,8 - 10 years,8 - 10 years,College degree
35-44,Computing or Tech,Vendor Manager,125000,25000.0,New Jersey,Ridgefield Park,21 - 30 years,11 - 20 years,Master's degree
25-34,Social sciences research,Economist,55000,1000.0,North Carolina,Durham,2 - 4 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Marketing Coordinator,51000,3000.0,Oklahoma,Oklahoma City,5-7 years,2 - 4 years,College degree
35-44,Nonprofits,Development Director,52000,,Oregon,Eugene,11 - 20 years,11 - 20 years,Master's degree
65 or over,Nonprofits,Major Gift Officer,91000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Business Analyst,89500,,Washington,Seattle,5-7 years,2 - 4 years,Master's degree
25-34,"Accounting, Banking & Finance",Customer service representative,47500,4000.0,Colorado,Denver,5-7 years,1 year or less,College degree
35-44,Entertainment,Broadway wardrobe - Dresser,71000,22000.0,New York,New York,11 - 20 years,5-7 years,College degree
45-54,Biotech,Manager of New Technology Development,98000,,"Alaska, Maryland",Rockville,21 - 30 years,21 - 30 years,College degree
25-34,Education (Primary/Secondary),Teacher,80000,,California,Orange County,8 - 10 years,8 - 10 years,Master's degree
25-34,"Marketing, Advertising & PR",Email Marketing Manager,77500,,Maryland,Gaithersburg,8 - 10 years,5-7 years,College degree
35-44,Engineering or Manufacturing,Senior Engineer,168000,,California,Southern CA,8 - 10 years,8 - 10 years,College degree
25-34,Consulting,Senior consultant,135000,,New York,NYC,2 - 4 years,2 - 4 years,Master's degree
35-44,Computing or Tech,Team lead,41000,3000.0,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree
25-34,Computing or Tech,Software Engineer,120000,,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Research IT specialist,58000,0.0,Wisconsin,Madison,11 - 20 years,5-7 years,College degree
25-34,Media & Digital,Managing editor,105000,0.0,New York,New York,8 - 10 years,8 - 10 years,College degree
35-44,Education (Higher Education),Human Resources Strategic Partner,97375,,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Solutions Engineer,75000,2000.0,Colorado,Colorado Springs,8 - 10 years,5-7 years,
45-54,Insurance,Processing Center Rep,41500,1600.0,Texas,Dallas,21 - 30 years,11 - 20 years,Some college
25-34,"Marketing, Advertising & PR",Social Media Manager,65000,,Colorado,Denver,5-7 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Data Scientist,96900,20400.0,New York,NYC,5-7 years,2 - 4 years,Master's degree
18-24,Health care,Environmental Services Operations Manager,51000,1000.0,Ohio,Columbus,2 - 4 years,2 - 4 years,Some college
25-34,Transport or Logistics,Associate Capital Program Analyst,80700,,New York,Albany,8 - 10 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Product Marketer,65000,7500.0,Illinois,Hoffman Estates,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Senior Product Owner,126500,15000.0,Illinois,Chicago,5-7 years,5-7 years,College degree
25-34,Education (Primary/Secondary),High school teacher,51000,,Florida,Orlando,5-7 years,5-7 years,Master's degree
35-44,Librarian,Adult Services Librarian,45700,,New York,Johnson City,8 - 10 years,5-7 years,Master's degree
45-54,Nonprofits,Research Director,104000,0.0,Virginia,Alexandria,31 - 40 years,21 - 30 years,College degree
25-34,Engineering or Manufacturing,Administrative Assistant,43775,,New Jersey,Princeton,5-7 years,5-7 years,College degree
18-24,Retail,Worker,24000,0.0,Massachusetts,Somerville /Cambridge,2 - 4 years,2 - 4 years,College degree
18-24,Health care,Patient Access Specialist,50595,,New York,New York,1 year or less,1 year or less,College degree
25-34,Transport or Logistics,Product Manager,106000,5000.0,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree
35-44,Nonprofits,Coordinator,55000,1000.0,California,San Francisco,11 - 20 years,1 year or less,Master's degree
18-24,"Accounting, Banking & Finance",Account Manager,36400,250.0,Texas,San Antonio,2 - 4 years,1 year or less,College degree
